id;name;description;cantidad;ubicacion;image_1;image_1_content_type;image_2;image_2_content_type
1;Generic Steel Tuna;website calculating;57374;TRASTERO;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
2;Chilean Peso Unidades de fomento Handmade Legacy;deposit Sri Lanka Rupee THX;28913;CAJA_BLANCA;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
3;Centers Steel Credit Card Account;networks infomediaries;57853;TRASTERO;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
4;transmitting intermediate withdrawal;green Credit Card Account;51217;TRASTERO;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
5;neutral;Rustic Concrete Car;78661;CAJON_TELE;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
6;aggregate throughput Practical;mobile distributed Dynamic;80377;CAJON_TELE;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
7;Personal Loan Account yellow;Cape Verde;40746;TRASTERO;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
8;Crossroad invoice;Liaison;22423;CAJON_TELE;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
9;Ergonomic Concrete Ball SMS;Gorgeous Rubber Cheese quantifying;16934;CAJON_TELE;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
10;project Stand-alone Computer;Arizona Buckinghamshire;94611;CAJA_BLANCA;../fake-data/blob/hipster.png;image/png;../fake-data/blob/hipster.png;image/png
